college_id,fees_annual_lakhs,hostel_available,location_city,location_state,source_note
indian-institute-of-technology-bhu-varanasi,2.5,1,Varanasi,Uttar Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-ism-dhanbad,2.5,1,,,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bhilai,2.5,1,Durg,Chhattisgarh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bhubaneswar,2.5,1,Bhubaneswar,Odisha,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-bombay,2.5,1,Mumbai,Maharashtra,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-delhi,2.5,1,New Delhi,Delhi,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-dharwad,2.5,1,Dharwad,Karnataka,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-gandhinagar,2.5,1,Gandhinagar,Gujarat,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-goa,2.5,1,,,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-guwahati,2.5,1,Guwahati,Assam,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-hyderabad,2.5,1,Hyderabad,Telangana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-indore,2.5,1,Indore,Madhya Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-jammu,2.5,1,Jammu,Jammu and Kashmir,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-jodhpur,2.5,1,Jodhpur,Rajasthan,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-kanpur,2.5,1,Kanpur,Uttar Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-kharagpur,2.5,1,Kharagpur,West Bengal,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-madras,2.5,1,Chennai,Tamil Nadu,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-mandi,2.5,1,Mandi,Himachal Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-palakkad,2.5,1,Palakkad,Kerala,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-patna,2.5,1,Patna,Bihar,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-roorkee,2.5,1,Roorkee,Uttarakhand,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-ropar,2.5,1,Rupnagar,Punjab,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-technology-tirupati,2.5,1,Tirupati,Andhra Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-tiruchirappalli,1.25,1,Tiruchirappalli,Tamil Nadu,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-rourkela,1.25,1,Rourkela,Odisha,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-karnataka-surathkal,1.25,1,Surathkal,Karnataka,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-calicut,1.25,1,Kozhikode,Kerala,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-warangal,1.25,1,Warangal,Telangana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
visvesvaraya-national-institute-of-technology-nagpur,1.25,1,Nagpur,Maharashtra,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-durgapur,1.25,1,Durgapur,West Bengal,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-silchar,1.25,1,Silchar,Assam,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-patna,1.25,1,Patna,Bihar,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-engineering-science-and-technology-shibpur,1.0,1,Howrah,West Bengal,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
dr-b-r-ambedkar-national-institute-of-technology-jalandhar,1.25,1,Jalandhar,Punjab,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-delhi,1.25,1,Delhi,Delhi,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
malaviya-national-institute-of-technology-jaipur,1.25,1,Jaipur,Rajasthan,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-srinagar,1.25,1,Srinagar,Jammu and Kashmir,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
university-of-hyderabad,1.0,1,Hyderabad,Telangana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
sant-longowal-institute-of-engineering-and-technology,1.0,1,Longowal,Punjab,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-jamshedpur,1.25,1,Jamshedpur,Jharkhand,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-agartala,1.25,1,Agratala,Tripura,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-meghalaya,1.25,1,Shillong,Meghalaya,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-kurukshetra,1.25,1,Kurukshetra,Haryana,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-raipur,1.25,1,Raipur,Chhattisgarh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-information-technology-allahabad,1.75,1,Prayagraj,Uttar Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-goa,1.25,1,Ponda,Goa,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-manipur,1.25,1,Imphal,Manipur,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-hamirpur,1.25,1,Hamirpur,Himachal Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-puducherry,1.25,1,Karaikal,Pondicherry,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-information-technology-guwahati,1.75,1,Guwahati,Assam,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-uttarakhand,1.25,1,Srinagar (Garhwal),Uttarakhand,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-advanced-manufacturing-technology-ranchi,1.0,1,Ranchi,Jharkhand,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-arunachal-pradesh,1.25,1,Itanagar,Arunachal Pradesh,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
national-institute-of-technology-sikkim,1.25,1,South Sikkim,Sikkim,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
indian-institute-of-information-technology-design-manufacturing-kancheepuram,1.75,1,Chennai,Tamil Nadu,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
international-institute-of-information-technology-bhubaneswar,1.0,1,Bhubaneswar,Odisha,"Manually curated approximate figure by institute-type tier, not scraped per-college. Verify against the institute's current fee circular before relying on this for a real decision."
